qualite_id,agence_id,date,note_satisfaction_client,reclamations_ouvertes,reclamations_traitees,delai_resolution_moyen
QUAL-AG-001-2023-01,AG-001,2023-01-01,38,19,14,1
QUAL-AG-001-2023-02,AG-001,2023-02-01,,5,2,1
QUAL-AG-001-2023-03,AG-001,2023-03-01,72,1,1,6
QUAL-AG-001-2023-04,AG-001,2023-04-01,56,2,0,8
QUAL-AG-001-2023-05,AG-001,2023-05-01,46,8,3,10
QUAL-AG-001-2023-06,AG-001,2023-06-01,35,4,4,4
QUAL-AG-001-2023-07,AG-001,2023-07-01,71,6,2,5
QUAL-AG-001-2023-08,AG-001,2023-08-01,54,18,14,1
QUAL-AG-001-2023-09,AG-001,2023-09-01,73,17,14,8
QUAL-AG-001-2023-10,AG-001,2023-10-01,73,6,6,1
QUAL-AG-001-2023-11,AG-001,2023-11-01,46,16,16,8
QUAL-AG-001-2023-12,AG-001,2023-12-01,59,20,19,7
QUAL-AG-001-2024-01,AG-001,2024-01-01,,10,5,7
QUAL-AG-001-2024-02,AG-001,2024-02-01,34,16,12,3
QUAL-AG-001-2024-03,AG-001,2024-03-01,31,13,12,2
QUAL-AG-001-2024-04,AG-001,2024-04-01,55,9,9,8
QUAL-AG-001-2024-05,AG-001,2024-05-01,70,20,15,4
QUAL-AG-001-2024-06,AG-001,2024-06-01,39,6,3,5
QUAL-AG-001-2024-07,AG-001,2024-07-01,74,20,17,10
QUAL-AG-001-2024-08,AG-001,2024-08-01,62,6,4,10
QUAL-AG-001-2024-09,AG-001,2024-09-01,,14,11,5
QUAL-AG-001-2024-10,AG-001,2024-10-01,44,18,13,2
QUAL-AG-001-2024-11,AG-001,2024-11-01,76,7,2,3
QUAL-AG-001-2024-12,AG-001,2024-12-01,38,17,16,7
QUAL-AG-001-2025-01,AG-001,2025-01-01,36,5,2,10
QUAL-AG-001-2025-02,AG-001,2025-02-01,67,8,4,10
QUAL-AG-001-2025-03,AG-001,2025-03-01,84,5,4,6
QUAL-AG-001-2025-04,AG-001,2025-04-01,69,13,11,5
QUAL-AG-001-2025-05,AG-001,2025-05-01,63,8,7,7
QUAL-AG-001-2025-06,AG-001,2025-06-01,76,17,14,9
QUAL-AG-001-2025-07,AG-001,2025-07-01,37,2,0,4
QUAL-AG-001-2025-08,AG-001,2025-08-01,57,8,8,10
QUAL-AG-001-2025-09,AG-001,2025-09-01,31,10,6,8
QUAL-AG-001-2025-10,AG-001,2025-10-01,83,10,8,6
QUAL-AG-001-2025-11,AG-001,2025-11-01,72,1,0,7
QUAL-AG-001-2025-12,AG-001,2025-12-01,40,15,11,8
QUAL-AG-001-2026-01,AG-001,2026-01-01,,5,3,10
QUAL-AG-001-2026-02,AG-001,2026-02-01,75,8,5,4
QUAL-AG-001-2026-03,AG-001,2026-03-01,37,13,12,7
QUAL-AG-001-2026-04,AG-001,2026-04-01,31,6,5,4
QUAL-AG-001-2026-05,AG-001,2026-05-01,49,2,0,1
QUAL-AG-001-2026-06,AG-001,2026-06-01,50,11,6,10
QUAL-AG-001-2026-07,AG-001,2026-07-01,61,14,13,8
QUAL-AG-001-2026-08,AG-001,2026-08-01,80,18,17,10
QUAL-AG-001-2026-09,AG-001,,61,18,16,6
QUAL-AG-001-2026-10,AG-001,2026-10-01,76,14,12,2
QUAL-AG-001-2026-11,AG-001,2026-11-01,55,14,14,4
